"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.75806657081426e-80,0.675295863491849,0.994,0.94,7.89661249521467e-76,"0","RPS20"
1.12519634448658e-79,0.546443823310181,1,0.987,1.5430942668289e-75,"0","RPL23A"
3.88791119073179e-78,0.588333702291783,0.995,0.961,5.33188140696958e-74,"0","RPL5"
2.85355527202776e-77,0.71786446466911,0.998,0.9,3.91336570005888e-73,"0","RPS29"
3.87032370592097e-77,0.554418265696815,0.998,0.977,5.30776193030001e-73,"0","RPS23"
1.70887461141122e-76,0.491776016563473,0.998,0.988,2.34355064208935e-72,"0","RPL27A"
1.76853195706454e-74,0.372911672067927,1,0.998,2.42536472591831e-70,"0","RPL10"
1.01640052592118e-72,0.611686718171955,0.995,0.941,1.3938916812483e-68,"0","RPSA"
1.88445642780043e-71,0.514742959095434,0.998,0.98,2.58434354508551e-67,"0","RPS16"
1.57001465502887e-69,0.978813122662493,0.864,0.413,2.15311809790659e-65,"0","CD3D"
3.92242703196358e-69,0.551219620553147,0.998,0.98,5.37921643163485e-65,"0","RPL10A"
2.89837572391728e-68,0.392596298690567,1,0.993,3.97483246778016e-64,"0","RPL19"
4.74923531363134e-67,0.474480619482121,1,1,6.51310130911402e-63,"0","MALAT1"
3.65504999292548e-66,0.559960397758493,0.997,0.962,5.01253556029801e-62,"0","RPS10"
1.7926798870274e-62,0.510128151932915,0.997,0.97,2.45848119706938e-58,"0","RPS5"
9.18063570825646e-60,0.776320044327576,0.941,0.784,1.25903238103029e-55,"0","NPM1"
1.20937544119226e-57,1.04612348015485,0.755,0.395,1.65853748005107e-53,"0","CD3E"
1.22902342808635e-56,0.542549280221171,0.995,0.934,1.68548272927762e-52,"0","RPLP0"
2.98332390576427e-56,0.509807265016168,1,0.977,4.09133040436513e-52,"0","RPL18"
4.85881310640597e-55,0.468642647449973,1,0.983,6.66337629412514e-51,"0","RPS8"
9.81699776168671e-55,0.736287049684485,0.941,0.766,1.34630307303772e-50,"0","RPL22"
1.81181905470469e-54,0.375182562302606,0.997,0.983,2.48472865162201e-50,"0","RPL14"
1.57076440283408e-53,0.549111283426098,0.998,0.95,2.15414630204666e-49,"0","RPL4"
3.24854299150553e-53,0.370823691762423,1,0.989,4.45505185855068e-49,"0","RPS15"
2.60629127629488e-52,1.90730928406447,0.358,0.107,3.5742678563108e-48,"0","PRKCQ-AS1"
1.5595804182767e-51,0.342547581334143,1,0.996,2.13880858562466e-47,"0","RPS2"
8.3894108653847e-51,0.881424065069426,0.884,0.684,1.15052380607886e-46,"0","TMEM66"
2.2592639391785e-50,0.48391275211601,0.995,0.946,3.0983545661894e-46,"0","RPL36"
1.80376822520882e-49,0.561347573856529,0.986,0.964,2.47368774405138e-45,"0","RPL7"
2.08782609267315e-49,1.14028707915591,0.654,0.356,2.86324470349195e-45,"0","NOSIP"
4.18871560431938e-49,0.583496382242714,0.978,0.883,5.7444045797636e-45,"0","RPL36A"
4.3103942109872e-48,0.727800805295121,0.938,0.891,5.91127462094785e-44,"0","JUNB"
9.50480973360608e-48,1.94032016768975,0.341,0.106,1.30348960686674e-43,"0","LEF1"
5.86243235585259e-47,0.57067824430482,0.957,0.861,8.03973973281624e-43,"0","EEF1B2"
1.33310192685626e-44,0.315518524717226,1,0.992,1.82821598249067e-40,"0","RPL18A"
1.35185674224739e-44,0.471758902393165,0.989,0.949,1.85393633631807e-40,"0","RPL17"
3.27474797453026e-44,1.47678875052279,0.453,0.184,4.4909893722708e-40,"0","PIK3IP1"
3.3940260575e-44,0.630085518623766,0.938,0.795,4.6545673352555e-40,"0","GLTSCR2"
2.69618973467329e-43,0.343104614171259,1,0.991,3.69755460213095e-39,"0","RPS19"
1.70502957668168e-42,0.609862613335061,0.967,0.849,2.33827756146126e-38,"0","BTG1"
2.27649988473986e-42,0.958288328139078,0.636,0.329,3.12199194193224e-38,"0","IL7R"
8.92937306258337e-41,1.98287462347553,0.285,0.084,1.22457422180268e-36,"0","MAL"
4.6638545394521e-40,0.813795383525146,0.597,0.294,6.39601011540461e-36,"0","CD7"
2.39746849870132e-38,0.493669746710494,0.978,0.89,3.28788829911899e-34,"0","RPS26"
5.31869077329916e-37,0.313809279319531,0.998,0.997,7.29405252650247e-33,"0","RPLP1"
5.87999108040675e-37,0.509830592736776,0.958,0.831,8.06381976766982e-33,"0","RPS21"
5.19280192864816e-36,1.24308700965102,0.405,0.176,7.12140856494809e-32,"0","TCF7"
8.32826875524311e-36,0.404013120794366,0.995,0.963,1.14213877709404e-31,"0","RPL35"
1.10031888192888e-34,1.04785164271009,0.422,0.18,1.50897731467727e-30,"0","CD27"
5.55478361904884e-34,0.379852715869118,0.988,0.939,7.61783025516357e-30,"0","RPL24"
1.59229157047355e-33,0.488945574021533,0.96,0.869,2.18366865974743e-29,"0","RPL38"
1.07653216843883e-32,0.598852031325241,0.873,0.685,1.47635621579701e-28,"0","RPSAP58"
2.22018889267604e-31,0.506722052087289,0.949,0.862,3.04476704741592e-27,"0","RPS4Y1"
2.97780859952343e-31,2.26150761387526,0.254,0.085,4.08376671338643e-27,"0","LDLRAP1"
3.07883350097803e-31,1.19317918409611,0.425,0.205,4.22231226324126e-27,"0","LEPROTL1"
1.75552375827031e-30,0.394582165442554,0.983,0.948,2.40752528209191e-26,"0","RPL27"
2.78541668923307e-30,0.288876098314411,0.998,0.994,3.81992044761423e-26,"0","RPL15"
4.08403839678824e-30,0.377535451975814,0.922,0.632,5.60085025735539e-26,"0","LTB"
4.3401007009025e-29,0.387425567270212,0.988,0.94,5.95201410121768e-25,"0","RPL37"
8.74989410545756e-29,0.361755644260449,0.991,0.941,1.19996047762245e-24,"0","RPL37A"
1.29291094757967e-28,0.343161338739125,0.994,0.971,1.77309807351076e-24,"0","RPL7A"
1.91506113311541e-28,0.306167499760312,1,0.991,2.62631483795447e-24,"0","RPL6"
3.23189303760456e-28,0.251137271128243,1,0.989,4.4322181117709e-24,"0","RPL12"
3.81819722238576e-28,0.724802316573082,0.704,0.488,5.23627567077983e-24,"0","C6orf48"
8.55430315252262e-27,1.09090502691084,0.383,0.18,1.17313713433695e-22,"0","RGCC"
1.44772737893679e-26,0.57641622254488,0.94,0.9,1.98541332747392e-22,"0","RPL34"
5.1793361571489e-26,0.728498398635987,0.67,0.431,7.102941605914e-22,"0","AES"
3.79997480561101e-24,0.294411698929936,1,0.986,5.21128544841495e-20,"0","RPS7"
2.03965506893072e-23,0.81636499216991,0.527,0.307,2.79718296153159e-19,"0","LCK"
2.54426790070056e-22,0.352298983128495,0.975,0.908,3.48920899902074e-18,"0","HNRNPA1"
3.24942471580419e-22,0.866144660017718,0.428,0.236,4.45626105525387e-18,"0","GIMAP5"
3.83981099194015e-21,0.722684342924081,0.567,0.38,5.26591679434672e-17,"0","TMEM123"
7.26172385843709e-21,0.991604645391827,0.443,0.256,9.95872809946063e-17,"0","C12orf57"
8.74437638510315e-21,0.905529509014632,0.353,0.176,1.19920377745305e-16,"0","CD3G"
3.1895726531382e-20,1.03489677166565,0.384,0.207,4.37417993651373e-16,"0","RHOH"
3.371378862412e-20,0.29127078962546,0.797,0.477,4.62350897191181e-16,"0","IL32"
3.97054037079426e-20,1.16573959298245,0.254,0.112,5.44519906450724e-16,"0","MYC"
5.21185362624695e-20,1.00239037793063,0.456,0.281,7.14753606303507e-16,"0","NDFIP1"
