"celltype","mean_score"
"NK / Cytotoxic",2.89159149751221
"Cluster_4",0.957169333237202
"Cluster_7",-0.0821641669998824
"Platelets",-0.19627111080912
"B cells",-0.416277136046509
"Cluster_0",-0.421099412595178
"Monocytes",-0.452670086680129
"CD4 T",-0.465238617105098
"Cluster_8",-0.490706674023035
"FCGR3A+ Monocytes",-0.518180024049265
